label,precision,recall,f1-score,support
anger,0.9506172839506173,0.9871794871794872,0.9685534591194969,78.0
disgust,0.9487179487179487,0.9487179487179487,0.9487179487179487,78.0
fear,0.9761904761904762,0.9647058823529412,0.9704142011834319,85.0
happy,1.0,0.9390243902439024,0.9685534591194969,82.0
neutral,0.9390243902439024,0.9746835443037974,0.9565217391304348,79.0
sad,0.9767441860465116,0.9767441860465116,0.9767441860465116,86.0
accuracy,0.9651639344262295,0.9651639344262295,0.9651639344262295,0.9651639344262295
macro avg,0.9652157141915761,0.965175906474098,0.9649174988862201,488.0
weighted avg,0.9657935767491945,0.9651639344262295,0.9652028236701139,488.0
